stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.01,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.609195884840692e-05,0.0011374509415423796,0.0006017714501953932
A,0.001,0.001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,6.915384356723349e-05,0.0016956380337452438,0.0008823959386562386
A,0.001,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.422430270252381e-05,0.0022058381571933338,0.0011400312299479289
A,0.001,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.37125184552624e-05,0.0022213173697758033,0.0011475149441155328
A,0.001,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,7.415026251800844e-05,0.002224090532952889,0.0011491203977354487
A,1e-05,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,8.358018590168072e-05,0.0033738665380191437,0.001728723361960412
A,0.001,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.00223884056952654,0.001245515462511122,0.0017421780160188308
A,1e-06,1e-06,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,8.505944716153573e-05,0.0033999836484547076,0.0017425215478081217
A,0.001,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0022371834848995452,0.0012633775014277582,0.0017502804931636517
A,1e-05,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,8.4080317488308e-05,0.003437342153945195,0.0017607112357167515
A,1e-06,1e-05,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,8.569978024357025e-05,0.003461579926705412,0.001773639853474491
A,0.001,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.002213997499628172,0.0014337384711180334,0.0018238679853731026
A,1e-05,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,9.00559635251618e-05,0.004100344887518333,0.0020952004255217474
A,1e-06,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,9.263975201115431e-05,0.004108706868303784,0.002100673310157469
A,0.01,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.00514641297649714,0.0001796569746424126,0.002663034975569776
A,0.01,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005146416324270752,0.0001799541971272234,0.0026631852606989878
A,0.01,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005146430370065174,0.0001808527745804156,0.002663641572322795
A,0.01,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005147211661451959,0.00024272420334511938,0.002694967932398539
A,0.001,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005196787431856011,0.00040825928664773415,0.0028025233592518725
A,0.001,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005196722448228312,0.00040875099071257636,0.0028027367194704443
A,0.0001,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005193530777183354,0.0004134937693865481,0.0028035122732849513
A,0.0001,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.0051910343192861745,0.00041608966370702664,0.0028035619914966005
A,0.0001,1e-05,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005193592508108535,0.00041427455969554215,0.0028039335339020387
A,0.001,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005197433486521416,0.0004136797804247295,0.0028055566334730725
A,1e-05,0.0001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005194103107145252,0.00042371367467069376,0.002808908390907973
A,1e-05,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005211423764374285,0.00043818970766167797,0.0028248067360179814
A,1e-06,1e-06,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.00521164735817943,0.00043976830393958725,0.0028257078310595088
A,1e-05,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005179419259123048,0.0004723221465376071,0.0028258707028303276
A,1e-06,0.001,1e-12,1e-12,0.01,150,640,H,0,0.13790667057037354,5,0.005179111703199718,0.0004734997228524662,0.002826305713026092
